fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-02-16,PSEX-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA EXPERIMENTAL,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,49,45,EN LINEA
2022-02-16,INGC5-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA COMUNICACIONES V,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,19,19,EN LINEA
2022-02-16,PPT1-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICO-PATOLOGÍA I,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,84,82,EN LINEA
2022-02-16,REA1-A,Facultad de Ciencias Sociales,ANTROPOLOGIA,REALIDAD NACIONAL,03,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,75,65,EN LINEA
2022-02-16,OCOM-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ORGANIZACIÓN DE LAS COMPUTADORAS,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,36,35,EN LINEA
2022-02-16,EPRO-AC,Facultad de Ciencias Sociales,ANTROPOLOGIA,ÉTICA,02,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,91,88,EN LINEA
2022-02-16,IB1-H,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS BÁSICO I,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,77,68,EN LINEA
2022-02-16,II2-H,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS INTERMEDIO II,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,41,39,EN LINEA
2022-02-16,INI5-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS V,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,27,27,EN LINEA
2022-02-16,INT5-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA TURISMO V,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,14,15,EN LINEA
2022-02-16,DIAM-DG,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,DISEÑO DE AMBIENTACIÓN GRÁFICA,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,20,20,EN LINEA
2022-02-16,INI3-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS III,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,60,58,EN LINEA
2022-02-16,INT3-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS III,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,29,27,EN LINEA
2022-02-16,INGC4-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA COMUNICACIONES IV,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,17,17,EN LINEA
2022-02-16,ESTP-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,ESTADÍSTICA I,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,64,61,EN LINEA
2022-02-16,ING1-H,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS I,03,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,51,49,EN LINEA
2022-02-16,BAS1-I,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,BASES DE DATOS I,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,51,48,EN LINEA
2022-02-16,DEEM-N,Facultad de Ciencias Empresariales,NEGOCIOS,DESARROLLO DE EMPRENDEDORES,03,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,34,35,EN LINEA
2022-02-16,PSICO-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA COMUNITARIA,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,24,24,EN LINEA
2022-02-16,INGC7-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA COMUNICACIONES VII,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,33,31,EN LINEA
2022-02-16,INGC2-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA COMUNICACIONES II,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,12,11,EN LINEA
2022-02-16,DPCM1-D,Facultad de Derecho,DERECHO,DERECHO PROCESAL CIVIL Y MERCANTIL I,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,62,59,EN LINEA
2022-02-16,TADI-AC,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA ARQUITECTURA,TALLER DE DISEÑO BITRIDIMENSIONAL,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,19,17,EN LINEA
2022-02-16,PSFO-H,Facultad de Ciencias Sociales,PSICOLOGIA,PSICOLOGÍA FORENSE,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,67,67,EN LINEA
2022-02-16,TTI-H,Facultad de Ciencias Sociales,IDIOMAS,TÉCNICAS DE TRADUCCIONES E INTERPRETACIÓN,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,39,41,EN LINEA
2022-02-16,INI4-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS IV,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,56,52,EN LINEA
2022-02-16,INT4-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS IV,01,06:30-08:00,Lu-Mie-Vie,PRIMERA,ORDINARIA,32,31,EN LINEA
2022-02-16,LOCO-N,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,LÓGICA COMPUTACIONAL,01,06:30-08:00,Mie-Sab,PRIMERA,ORDINARIA,34,34,EN LINEA
